time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,-0.000010,-0.000003,-0.001852
0.010000,-0.000000,-0.000009,-0.000032,-0.001397
0.015000,-0.000000,-0.000020,-0.000110,-0.000614
0.020000,-0.000001,-0.000077,-0.000250,-0.009775
0.025000,-0.000003,-0.000133,-0.000441,-0.008778
0.030000,-0.000006,-0.000172,-0.000647,-0.008426
0.035000,-0.000010,-0.000220,-0.000834,-0.007375
0.040000,-0.000014,-0.000232,-0.000966,-0.005881
0.045000,-0.000019,-0.000264,-0.001022,-0.005757
0.050000,-0.000025,-0.000270,-0.000988,-0.002122
0.055000,-0.000029,-0.000287,-0.000861,-0.004885
0.060000,-0.000033,-0.000490,-0.000652,-0.012467
0.065000,-0.000035,-0.000560,-0.000380,-0.014046
0.070000,-0.000036,-0.000542,-0.000050,-0.010498
0.075000,-0.000035,-0.000597,0.000349,-0.007683
0.080000,-0.000032,-0.000311,0.000816,0.004340
0.085000,-0.000027,-0.000283,0.001340,0.004736
0.090000,-0.000018,0.000051,0.001889,0.014240
0.095000,-0.000007,0.000136,0.002409,0.012842
0.100000,0.000006,0.000328,0.002858,0.016678
0.105000,0.000022,0.003256,0.003219,0.107608
0.110000,0.000039,0.003698,0.003456,0.104531
0.115000,0.000056,0.004318,0.003489,0.103117
0.120000,0.000073,0.004729,0.003216,0.101937
0.125000,0.000087,0.005345,0.002550,0.103760
0.130000,0.000097,0.005775,0.001433,0.104448
0.135000,0.000099,0.006403,-0.000145,0.104212
0.140000,0.000093,0.006824,-0.002201,0.101666
0.145000,0.000074,0.007428,-0.004704,0.097675
0.150000,0.000042,0.007727,-0.007572,0.092128
0.155000,-0.000005,0.008269,-0.010787,0.085173
0.160000,-0.000070,0.008289,-0.014320,0.072632
0.165000,-0.000152,0.008719,-0.018082,0.068115
0.170000,-0.000255,0.008973,-0.022038,0.060446
0.175000,-0.000377,0.009322,-0.026133,0.054220
0.180000,-0.000520,0.009626,-0.030386,0.053301
0.185000,-0.000685,0.009946,-0.034709,0.050872
0.190000,-0.000872,0.010396,-0.039018,0.049710
0.195000,-0.001080,0.010684,-0.043400,0.045134
0.200000,-0.001310,0.010967,-0.047858,0.044488
0.205000,-0.001563,0.000442,-0.052163,0.005610
0.210000,-0.001836,0.000451,-0.056266,-0.000117
0.215000,-0.002129,0.000442,-0.060165,-0.002763
0.220000,-0.002441,0.000426,-0.063925,-0.004175
0.225000,-0.002771,0.000389,-0.067460,-0.009063
0.230000,-0.003119,0.000342,-0.070808,-0.015546
0.235000,-0.003482,0.000249,-0.073974,-0.016306
0.240000,-0.003861,0.000214,-0.076900,-0.017241
0.245000,-0.004254,0.000112,-0.079662,-0.017649
0.250000,-0.004660,-0.000154,-0.082283,-0.029473
0.255000,-0.005079,-0.000342,-0.084803,-0.033405
0.260000,-0.005511,-0.000745,-0.087211,-0.044545
0.265000,-0.005953,-0.001021,-0.089395,-0.050081
0.270000,-0.006406,-0.001140,-0.091331,-0.048126
0.275000,-0.006868,-0.001439,-0.093015,-0.053184
0.280000,-0.007337,-0.001619,-0.094456,-0.056536
0.285000,-0.007813,-0.001969,-0.095668,-0.060682
0.290000,-0.008295,-0.002213,-0.096645,-0.064679
0.295000,-0.008780,-0.002606,-0.097390,-0.065836
0.300000,-0.009269,-0.002980,-0.097881,-0.067732
0.305000,-0.009759,-0.013420,-0.098096,-0.084280
0.310000,-0.010249,-0.013870,-0.098004,-0.081158
0.314999,-0.010738,-0.014351,-0.097578,-0.081941
0.319999,-0.011224,-0.014727,-0.096803,-0.078954
0.324999,-0.011705,-0.015202,-0.095691,-0.076617
0.329999,-0.012179,-0.015485,-0.094255,-0.082255
0.334999,-0.012645,-0.015971,-0.092484,-0.078935
0.339999,-0.013102,-0.016372,-0.090411,-0.092448
0.344999,-0.013547,-0.016924,-0.088016,-0.091935
0.349999,-0.013979,-0.017348,-0.085314,-0.096214
0.354999,-0.014396,-0.017920,-0.082392,-0.093471
0.359999,-0.014799,-0.018339,-0.079131,-0.094470
0.364999,-0.015184,-0.018904,-0.075588,-0.096134
0.369999,-0.015550,-0.019121,-0.071723,-0.090892
0.374999,-0.015896,-0.019659,-0.067472,-0.086129
0.379999,-0.016220,-0.019990,-0.062818,-0.083024
0.384999,-0.016519,-0.020481,-0.057784,-0.078427
0.389999,-0.016792,-0.020845,-0.052305,-0.078088
0.394998,-0.017036,-0.021305,-0.046555,-0.073571
0.399998,-0.017251,-0.021253,-0.040694,-0.059755
0.404998,-0.017436,-0.013685,-0.034498,-0.001726
0.409998,-0.017590,-0.013735,-0.028129,0.004492
0.414998,-0.017712,-0.013697,-0.021810,0.010078
0.419998,-0.017802,-0.013722,-0.015471,0.018345
0.424998,-0.017860,-0.013599,-0.009106,0.026006
0.429998,-0.017887,-0.013473,-0.002895,0.027220
0.434998,-0.017883,-0.013306,0.003065,0.029462
0.439998,-0.017851,-0.013192,0.008749,0.027768
0.444998,-0.017791,-0.013008,0.014089,0.034793
0.449998,-0.017705,-0.013021,0.019141,0.022921
0.454998,-0.017595,-0.012868,0.023872,0.031711
0.459998,-0.017462,-0.012732,0.028238,0.037259
0.464998,-0.017309,-0.012497,0.032232,0.043450
0.469997,-0.017137,-0.011868,0.035917,0.064592
0.474997,-0.016947,-0.011481,0.039300,0.068851
0.479997,-0.016741,-0.010886,0.042318,0.083158
0.484997,-0.016521,-0.010390,0.045039,0.084466
0.489997,-0.016289,-0.010237,0.047429,0.082661
0.494997,-0.016045,-0.009749,0.049434,0.081236
0.499997,-0.015793,-0.009261,0.051050,0.083377
0.504997,-0.015534,-0.005609,0.052339,0.111036
0.509997,-0.015269,-0.005242,0.053268,0.112782
0.514997,-0.015001,-0.004565,0.053829,0.112868
0.519997,-0.014731,-0.004131,0.053997,0.113349
0.524997,-0.014462,-0.003454,0.053759,0.110763
0.529997,-0.014195,-0.003008,0.053132,0.109793
0.534997,-0.013932,-0.002352,0.052131,0.107000
0.539997,-0.013675,-0.001923,0.050734,0.104370
0.544997,-0.013427,-0.001306,0.048911,0.098859
0.549996,-0.013189,-0.000880,0.046678,0.101118
0.554996,-0.012963,-0.000290,0.044091,0.093714
0.559996,-0.012751,0.000199,0.041162,0.096617
0.564996,-0.012555,0.000774,0.037928,0.091925
0.569996,-0.012376,0.000896,0.034492,0.078487
0.574996,-0.012214,0.001353,0.030818,0.070772
0.579996,-0.012072,0.001623,0.026821,0.066738
0.584996,-0.011950,0.002016,0.022618,0.063845
0.589996,-0.011850,0.002039,0.018212,0.054884
0.594996,-0.011773,0.002352,0.013648,0.046790
0.599996,-0.011719,0.002277,0.009078,0.035279
0.604996,-0.011687,0.018665,0.004445,0.027630
0.609996,-0.011679,0.018829,-0.000174,0.021337
0.614996,-0.011694,0.018943,-0.004880,0.013349
0.619996,-0.011732,0.018973,-0.009579,0.010390
0.624996,-0.011794,0.019018,-0.014275,0.002142
0.629995,-0.011879,0.019062,-0.018862,-0.006086
0.634995,-0.011987,0.019016,-0.023425,-0.010871
0.639995,-0.012118,0.018962,-0.027991,-0.023139
0.644995,-0.012272,0.018808,-0.032550,-0.029801
0.649995,-0.012448,0.018727,-0.037079,-0.029642
0.654995,-0.012647,0.018546,-0.041641,-0.033524
0.659995,-0.012869,0.018420,-0.046161,-0.035763
0.664995,-0.013113,0.018189,-0.050577,-0.042348
0.669995,-0.013379,0.017929,-0.055022,-0.050612
0.674995,-0.013667,0.017610,-0.059329,-0.058954
0.679995,-0.013976,0.017016,-0.063398,-0.073897
0.684995,-0.014305,0.016560,-0.067199,-0.080581
0.689995,-0.014652,0.016586,-0.070742,-0.072788
0.694995,-0.015015,0.016139,-0.074040,-0.076685
0.699995,-0.015395,0.015335,-0.077061,-0.093070
0.704994,-0.015789,0.016380,-0.079970,-0.100296
0.709994,-0.016197,0.015789,-0.082794,-0.097152
0.714994,-0.016619,0.015188,-0.085524,-0.103310
0.719994,-0.017055,0.014819,-0.088161,-0.109280
0.724994,-0.017503,0.014154,-0.090652,-0.113526
0.729994,-0.017963,0.013733,-0.092962,-0.119342
0.734994,-0.018435,0.013003,-0.095021,-0.125229
0.739994,-0.018915,0.012486,-0.096795,-0.121820
0.744994,-0.019404,0.011747,-0.098264,-0.124818
0.749994,-0.019899,0.011245,-0.099404,-0.126466
0.754994,-0.020398,0.010478,-0.100228,-0.131169
0.759994,-0.020901,0.009978,-0.100745,-0.133587
0.764994,-0.021405,0.009166,-0.100969,-0.135655
0.769994,-0.021910,0.008738,-0.100929,-0.128612
0.774994,-0.022414,0.007958,-0.100647,-0.129836
0.779994,-0.022916,0.007500,-0.100134,-0.128144
0.784993,-0.023414,0.006732,-0.099370,-0.125448
0.789993,-0.023908,0.006070,-0.098327,-0.130055
0.794993,-0.024396,0.005286,-0.096996,-0.132955
0.799993,-0.024876,0.004506,-0.095331,-0.139039
0.804993,-0.025347,0.019897,-0.093237,-0.085802
