time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000015,0.300030
0.010000,0.000023,0.300057
0.015000,0.000049,0.300105
0.020000,0.000096,0.300143
0.025000,0.000159,0.300210
0.030000,0.000196,0.300260
0.035000,0.000243,0.300344
0.040000,0.000259,0.300407
0.045000,0.000292,0.300509
0.050000,0.000305,0.300583
0.055000,0.000330,0.300704
0.060000,0.000512,0.300790
0.065000,0.000587,0.300928
0.070000,0.000582,0.301027
0.075000,0.000670,0.301183
0.080000,0.000521,0.301293
0.085000,0.000630,0.301468
0.090000,0.000690,0.301590
0.095000,0.000891,0.301782
0.100000,0.001067,0.301916
0.105000,0.030429,0.299776
0.110000,0.030542,0.299857
0.115000,0.030715,0.299983
0.120000,0.030845,0.300070
0.125000,0.031019,0.300205
0.130000,0.031125,0.300298
0.135000,0.031298,0.300441
0.140000,0.031415,0.300540
0.145000,0.031619,0.300693
0.150000,0.031748,0.300798
0.155000,0.031949,0.300960
0.160000,0.032003,0.301071
0.165000,0.032228,0.301241
0.170000,0.032380,0.301358
0.175000,0.032568,0.301538
0.180000,0.032728,0.301661
0.185000,0.032988,0.301850
0.190000,0.033250,0.301978
0.195000,0.033526,0.302176
0.200000,0.033775,0.302311
0.205000,0.019342,0.299956
0.210000,0.019829,0.300055
0.215000,0.020573,0.300206
0.220000,0.021079,0.300308
0.225000,0.021864,0.300465
0.230000,0.022405,0.300572
0.235000,0.023210,0.300735
0.240000,0.023766,0.300845
0.245000,0.024586,0.301014
0.250000,0.025086,0.301129
0.255000,0.025915,0.301304
0.260000,0.026420,0.301423
0.265000,0.027184,0.301604
0.270000,0.027706,0.301726
0.275000,0.028445,0.301913
0.280000,0.028965,0.302040
0.285000,0.029736,0.302233
0.290000,0.030246,0.302364
0.295000,0.031047,0.302563
0.300000,0.031549,0.302697
0.305000,0.040655,0.300239
0.310000,0.041183,0.300346
0.314999,0.041965,0.300509
0.319999,0.042497,0.300619
0.324999,0.043287,0.300786
0.329999,0.043817,0.300899
0.334999,0.044602,0.301071
0.339999,0.045132,0.301187
0.344999,0.045898,0.301364
0.349999,0.046401,0.301483
0.354999,0.047100,0.301664
0.359999,0.047557,0.301786
0.364999,0.048256,0.301972
0.369999,0.048694,0.302097
0.374999,0.049352,0.302287
0.379999,0.049793,0.302416
0.384999,0.050411,0.302610
0.389999,0.050819,0.302742
0.394998,0.051410,0.302941
0.399998,0.051790,0.303075
0.404998,0.048492,0.300557
0.409998,0.049035,0.300669
0.414998,0.049853,0.300839
0.419998,0.050395,0.300953
0.424998,0.051196,0.301126
0.429998,0.051718,0.301243
0.434998,0.052474,0.301420
0.439998,0.052975,0.301539
0.444998,0.053721,0.301719
0.449998,0.054196,0.301841
0.454998,0.054917,0.302025
0.459998,0.055403,0.302150
0.464998,0.056144,0.302338
0.469997,0.056659,0.302464
0.474997,0.057397,0.302656
0.479997,0.057966,0.302785
0.484997,0.058796,0.302981
0.489997,0.059318,0.303112
0.494997,0.060129,0.303311
0.499997,0.060688,0.303445
0.504997,0.050267,0.300890
0.509997,0.050459,0.301004
0.514997,0.050753,0.301178
0.519997,0.050921,0.301295
0.524997,0.051191,0.301471
0.529997,0.051375,0.301590
0.534997,0.051643,0.301770
0.539997,0.051830,0.301891
0.544997,0.052145,0.302074
0.549996,0.052353,0.302197
0.554996,0.052665,0.302383
0.559996,0.052913,0.302509
0.564996,0.053213,0.302698
0.569996,0.053332,0.302825
0.574996,0.053536,0.303018
0.579996,0.053667,0.303147
0.584996,0.053888,0.303343
0.589996,0.053975,0.303475
0.594996,0.054205,0.303674
0.599996,0.054289,0.303808
0.604996,0.057251,0.301226
0.609996,0.057440,0.301343
0.614996,0.057674,0.301519
0.619996,0.057835,0.301638
0.624996,0.058127,0.301816
0.629995,0.058347,0.301937
0.634995,0.058626,0.302118
0.639995,0.058812,0.302240
0.644995,0.059093,0.302425
0.649995,0.059301,0.302549
0.654995,0.059569,0.302736
0.659995,0.059747,0.302862
0.664995,0.060013,0.303052
0.669995,0.060141,0.303180
0.674995,0.060402,0.303373
0.679995,0.060396,0.303503
0.684995,0.060628,0.303698
0.689995,0.060938,0.303830
0.694995,0.061169,0.304028
0.699995,0.061096,0.304162
0.704994,0.037301,0.301563
0.709994,0.037274,0.301681
0.714994,0.037492,0.301859
0.719994,0.037680,0.301978
0.724994,0.037887,0.302158
0.729994,0.038047,0.302280
0.734994,0.038216,0.302462
0.739994,0.038315,0.302585
0.744994,0.038511,0.302771
0.749994,0.038644,0.302895
0.754994,0.038846,0.303083
0.759994,0.038991,0.303209
0.764994,0.039171,0.303400
0.769994,0.039388,0.303528
0.774994,0.039624,0.303721
0.779994,0.039831,0.303850
0.784993,0.040074,0.304046
0.789993,0.040132,0.304177
0.794993,0.040366,0.304375
0.799993,0.040344,0.304508
0.804993,0.076161,0.301897
0.809993,0.076293,0.302015
0.814993,0.076853,0.302194
0.819993,0.076948,0.302314
0.824993,0.077522,0.302496
0.829993,0.077955,0.302617
0.834993,0.078490,0.302801
0.839993,0.078814,0.302924
0.844993,0.079310,0.303110
0.849993,0.079658,0.303235
0.854993,0.080192,0.303423
0.859993,0.080501,0.303549
0.864992,0.081003,0.303740
0.869992,0.081312,0.303868
0.874992,0.081814,0.304061
0.879992,0.082164,0.304191
0.884992,0.082640,0.304386
0.889992,0.082906,0.304517
0.894992,0.083374,0.304715
0.899992,0.083815,0.304847
0.904992,0.085695,0.302226
0.909992,0.086130,0.302346
0.914992,0.086631,0.302525
0.919992,0.086962,0.302646
0.924992,0.087491,0.302828
0.929992,0.087852,0.302950
0.934992,0.088345,0.303134
0.939991,0.088651,0.303257
0.944991,0.089164,0.303443
0.949991,0.089492,0.303568
0.954991,0.089937,0.303757
0.959991,0.090152,0.303883
0.964991,0.090542,0.304074
0.969991,0.090803,0.304202
0.974991,0.091176,0.304394
0.979991,0.091446,0.304524
0.984991,0.091807,0.304719
0.989991,0.091948,0.304850
0.994991,0.092269,0.305047
0.999991,0.092652,0.305179
1.004991,0.108738,0.302551
1.009991,0.109127,0.302671
1.014991,0.109664,0.302851
1.019992,0.109957,0.302972
1.024992,0.110496,0.303154
1.029992,0.110827,0.303276
1.034992,0.111307,0.303460
1.039993,0.111608,0.303584
1.044993,0.112123,0.303770
1.049993,0.112466,0.303895
1.054993,0.112976,0.304083
1.059994,0.113328,0.304210
1.064994,0.113844,0.304400
1.069994,0.114117,0.304528
1.074994,0.114600,0.304720
1.079994,0.114956,0.304850
1.084995,0.115427,0.305044
